todos.count,photo,firstName,followers.count,lastName,lastUpdate,contact.facebook,contact.phone,homeCity,type,friends.count,key,gender,mayorships.count,contact.email,contact.twitter
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/2NSV3MXUL44OH3P0.jpg,Jimmy Foursquare,27415,,2011-03-16T15:32:48,80690156072,,"New York, NY",celebrity,0,1,male,0,,foursquare
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/REQV4H2VVS4I1X3A.jpg,Savings Sidekick Cincinnati,3011,,2011-03-16T18:33:28,549297758,,"Cincinnati, Ohio",brand,3011,1002063,male,0,,cincicouponbook
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/55YPNETT4WPJR2YX.png,Ken,185,C.,2011-03-14T01:41:35,,,"Malibu, CA",celebrity,410,1003695,male,0,,officialken
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/100438_1258503107219.jpg,TransLink,15939,,2011-03-16T18:41:47,,,"Vancouver, British Columbia",brand,15939,100438,none,0,,translink
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/OXBTETJZCJLVL2G3.jpg,Circus Circus,1163,,2011-03-16T07:15:01,,,"Las Vegas, NV",celebrity,134,1004845,none,0,,circusvegas
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/OLS0Q3LNXPJE4JCG.jpg,Alfito,1448,D.,2011-03-16T07:10:26,,,"Bekasi, West Java",celebrity,100,1009289,male,0,,alfitodeannova
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/5AKIUCOJWGIA4WDC.jpg,FUNimation,1133,,2011-03-16T19:09:26,646245739,,"Flower Mound, TX",brand,1133,1011758,male,0,,funimation
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/TDWUHFGQ0TLHDRI1.jpg,Ben & Jerry's,767,,2011-03-14T10:13:26,,,"Boston, MA",celebrity,149,1014094,none,0,,benjerrystruck
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/BF2VT532YVG2VECM.png,Texas A&M University,7532,,2011-03-16T19:07:34,,,"College Station, Texas",brand,7532,1014390,none,0,,tamutalk
1256,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/FL1K5UBLXWXVCZ5Y.jpg,Roberto,1920,M.,2011-03-15T09:39:45,522713408,,"New York, NY",celebrity,163,1016488,male,14,,
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/STVYYWE2RVXB0FL4.jpg,Kim Hee-dong,1031,김.,2011-03-09T06:53:00,100000964869026,,"서울특별시, ",celebrity,102,1016916,female,0,,hdkim0425
16,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/101791_1258813732715.jpg,Julien,1518,S.,2011-03-16T07:06:04,756800514,,"Montreal, Canada",celebrity,104,101791,male,2,,julien
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/APJMS2PKU1JE0DLQ.jpg,Madusha,3897,,2011-03-16T09:13:00,,,"Waterloo, Ontario",celebrity,779,1019144,male,5,,mad_sha
16,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/1028_1259956095238.jpg,Jesse,1694,T.,2011-03-14T15:29:42,501528860,,"Arlington, VA",celebrity,106,1028,male,3,,jessethomas
1,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/0IQIZAUJUDRLDQB0.jpg,Ivan Lanin,1041,,2011-03-16T07:17:37,693539902,,"Jakarta Selatan, Indonesia",celebrity,101,1028368,male,1,,ivanlanin
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/CVXPZUR0YHEQVBHP.jpg,@Stacy_Eldridge,1250,,2011-03-14T13:06:30,1657614491,,"Las Vegas, NV",celebrity,109,1028628,female,15,,stacy_eldridge
6,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/L2EWLYK0R5FW4ES4.jpg,ScoopADay,1634,,2011-03-15T09:42:50,,,"Chicago, IL",celebrity,102,1029520,female,1,,scoopaday
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/-1_1258664121390.jpg,Jason,3885,P.,2011-03-16T09:13:03,510215114,,"Los Angeles, CA",celebrity,149,103015,male,0,,jason_pollock
4,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/103303_1258665558138.jpg,@zaibatsu Reg,4424,S.,2011-03-16T09:12:40,669170995,,"Centennial, Colorado",celebrity,123,103303,male,7,,zaibatsu
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/530CRVJHVF3IHDZR.jpg,Gluten Free Bistro,1240,,2011-03-16T14:47:13,816196107,,"Boulder, CO",brand,1240,1033888,female,0,,gfreebistro
30,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/23MN411I1I345BV0.jpg,Melissa Ayr,2291,,2011-03-16T16:27:41,1376367174,,"New York, NY",brand,2291,1034687,female,0,,melissaayr
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/P1TRWPINLUAZL4KJ.jpg,ROC4LIFE,2940,,2011-03-16T09:14:06,,,New York,celebrity,97,1036351,none,0,,roc4life
0,http://foursquare.com/img/blank_boy.png,Jay-Z,4204,,2011-03-16T09:12:47,,,"Brooklyn, NY",celebrity,104,1036507,male,0,,
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/ZQ2XDF3GHDJ2O3XR.png,MapPlus,1068,,2011-03-16T00:44:00,100001023875146,,"Seoul, Korea",celebrity,537,1042840,male,62,,mapplus
3,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/EV5HHVQXYLFCEXXB.jpg,Chuck,1945,L.,2011-03-15T09:39:31,661927238,,"Mishawaka, IN",celebrity,108,1044472,male,59,,chucklehman
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/HUKXFNZHIDRJA3KP.jpg,Deeside College,2461,,2011-03-16T18:34:54,,,"Wrexham, Wales",brand,2461,1044528,none,0,,deesidecollege
30,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/5WE2GJ5FCH5FGJ01.jpg,蒙兀ナイト,346,K.,2011-03-13T10:18:56,1640551192,,"觀塘, 九龍",celebrity,854,1046444,male,100,,knightnmogul
16,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/104796_1260273971091.jpg,Jacques,1161,F.,2011-03-16T07:14:59,561308734,,"Paris, Ile-de-France",celebrity,159,104796,male,12,,altaide_jf
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/QOA1FHKCAJWVEKXR.jpg,Roxy,1301,O.,2011-03-14T15:24:06,,,"New York, NY",celebrity,0,1048508,female,0,,roxyolin
0,http://playfoursquare.s3.amazonaws.com/userpix_thumbs/DPFM4NGRZPQSQP4K.jpg,DJ Sophia Lin,1260,,2011-03-16T07:13:20,520957452,,"Los Angeles, CA",celebrity,152,1051964,female,9,,djsophialin
